,name,rating,number_of_ratings,final_price,original_price,discount,language,bind,author,discount_range
226,Mathematics For NDA And NA (R.S. Aggarwal),4.4,397,400,650,38,English,Paperback,DR. R.S AGRWAL,31-40
227,Naveen Ankganit (Scc And Railway Board),4.3,723,419,600,30,English,Paperback,Dr. R S Aggarwal,21-30
228,One Liner General Knowledge,4.3,369,220,225,2,English,Paperback,unknown,1-10
229,Concepts Of Physics Hc Verma Combo Set Fo Two Books 201...,4.3,1873,625,870,28,English,Paperback,HC VERMA,21-30
230,101 Panchatantra Stories,4.4,850,123,170,27,English,Paperback,unknown,21-30
231,Set Of 3( Three )Classic Books,3.9,452,380,1228,69,English,Paperback,sapiens and stephens hawking,61-70
232,Science Class 6,4.2,409,60,80,25,English,Paperback,Experts' Panel,21-30
233,Cbse All in One Chemistry Class 11 for 2021 Exam,4.5,357,383,510,24,English,Paperback,Gupta Preeti,21-30
234,Dgp Probable Latest Essays,4.4,58,415,425,2,English,Paperback,Prof. Dhillon Rajinder S.,1-10
235,History Of Modern India By Bipan Chandra ( New Edition ...,4.5,6,297,425,30,English,Paperback,Bipan Chandra,21-30
236,Descriptive English,4.3,5356,210,285,26,English,Paperback,Bakshi S. P.,21-30
237,Rajan D.el.ed Series 2020 Question Bank All Subject 8 P...,4.4,12,150,220,31,English,Paperback,RAJAN,31-40
238,THE SECRET,4.2,2228,183,505,63,English,Hardcover,Rhonda Byrne,61-70
